IDN;CREATOR;TITLE;DATE;PUBLISHER;URN;ISBN
(DE-101)1039499449;N/A;Adath Jeshurun of West Bronx;1941;N/A;N/A;N/A
(DE-101)1039336116;N/A;Aus den Gemeinden;1950;N/A;N/A;N/A
(DE-101)1039504418;N/A;Aus den Gemeinden;1941;N/A;N/A;N/A
(DE-101)103908205X;N/A;Aus den Gemeinden;1946;N/A;N/A;N/A
(DE-101)1039273734;N/A;Aus den Gemeinden;1949;N/A;N/A;N/A
(DE-101)1039438938;N/A;Aus den Gemeinden ;1940;N/A;N/A;N/A
(DE-101)1039320953;N/A;Aus den Gemeinden ;1949;N/A;N/A;N/A
(DE-101)1039385184;N/A;B'nai Jeshurun beschliesst ihr JubilaÌˆum;1950;N/A;N/A;N/A
(DE-101)1039376231;N/A;Congregation B'nai Jeshurun - 125 Jahre ;1950;N/A;N/A;N/A
(DE-101)103949823X;N/A;K'Hal Adath Jeshurun;1941;N/A;N/A;N/A
(DE-101)1039499554;N/A;K'Hal Adath Jeshurun;1941;N/A;N/A;N/A
(DE-101)103948378X;N/A;K'hal Adath Jeshurun;1941;N/A;N/A;N/A
(DE-101)1039501176;N/A;K'Hal Adath Jeshurun;1941;N/A;N/A;N/A
(DE-101)1039476325;N/A;K'Hal Adath Jeshurun;1941;N/A;N/A;N/A
(DE-101)1039499430;N/A;The Kew Gardens Synagogue Adath Jeshurun;1941;N/A;N/A;N/A
(DE-101)1039501125;N/A;The Kew Gardens Synagogue Adath Jeshurun;1941;N/A;N/A;N/A
